,obj_names,magnitudes,fluxes,times_sum,magnitudes_g,fluxes_g,times_g,magnitudes_r,fluxes_r,times_r
0,ZTF21abwxaht,17.882689054085482,0.25522568516110644,59469.98625420914,18.71481035032742,0.11859758889950928,59469.0268581637,18.53799168286358,0.13957361495151885,59471.137529463675
1,ZTF21abwfnru,17.069200822842166,0.5399078859447584,59468.67853407891,17.749723140681187,0.28847670158656447,59468.445697963754,17.882283014254952,0.25532115142062667,59471.006895230414
2,ZTF21abvtuir,17.108556166960348,0.5206879572732999,59465.66452488591,17.792622459142315,0.27730073221840534,59465.41245195763,17.933954203880752,0.2434547870231292,59465.66452488591
3,ZTF21abvrfsr,17.933463916364364,0.2435647490901998,59466.595814881795,18.795030328939035,0.11015085395884514,59466.343110172704,18.577368563564313,0.134602329031501,59469.375566681796
4,ZTF21abvicne,16.775488670478197,0.7076272223230209,59463.56908566381,17.511516871228935,0.35924708387243987,59463.29676313351,17.544765435890053,0.3484125784919409,59463.56908566381
5,ZTF21abvfacx,16.90386518694352,0.62871514950068,59467.42347991616,17.671860277528772,0.3099244855541587,59465.8514197283,17.59540202580976,0.3325363990981767,59468.47152004139
6,ZTF21abvcxel,16.920745080897913,0.6190161326422841,59454.81231443048,17.792920466358375,0.27722463060281677,59454.81231443048,17.56471266530091,0.34206995765290643,59454.53033771836
7,ZTF21abuyhau,17.48035833154872,0.369706143471715,59460.073870097985,18.145629714034776,0.20033097945963674,59460.35701076364,18.321774671949008,0.17032960184051935,59459.50758876667
8,ZTF21abuxuxj,15.851642527002133,1.6570781438719036,59461.3049789516,16.566932819557675,0.8574856723271764,59460.457748312205,16.632945605130086,0.8069037948493504,59462.15220959099
9,ZTF21abukrln,17.57323023156447,0.33939692825447776,59459.47200793139,18.292120922581994,0.17504577423717116,59459.1683638516,18.357675605010797,0.1647895842276276,59459.77565201119
10,ZTF21abujgmr,17.882204333701846,0.25533965456829316,59462.95197143026,18.85617880966362,0.10411863746461344,59462.226806822175,18.44834603726943,0.15158686980890315,59463.677136038335
11,ZTF21abujejr,17.57240884289094,0.3396537883178602,59454.65834703622,18.33005783398503,0.16903508892081562,59455.625067363486,18.302576682208365,0.17336815488351867,59453.36938659986
