,obj_names,magnitudes,fluxes,times_sum,magnitudes_g,fluxes_g,times_g,magnitudes_r,fluxes_r,times_r
0,ZTF21abwxaht,17.866304957866667,0.25910634,59469.794375000056,18.704593324661253,0.11971888,59469.60249579097,18.488675647974013,0.14605947,59471.90504630003
1,ZTF21abwfnru,17.053855577111243,0.5475929,59467.98002573346,17.73067861199379,0.29358143,59467.98002573346,17.864893519878386,0.25944337,59470.308386884964
2,ZTF21abvtuir,17.1011941075325,0.5242306,59464.65623317278,17.778079652786253,0.28103998,59464.65623317278,17.927424305677413,0.2449234,59465.66452488591
3,ZTF21abvrfsr,17.939260894060133,0.24226776,59468.87015726362,18.82234259843826,0.10741451,59465.584996045436,18.56111347079277,0.1366327,59468.87015726362
4,ZTF21abvicne,16.785236851871012,0.7013023,59464.11373072442,17.51540041863918,0.3579644,59463.56908566381,17.553026223182677,0.34577176,59464.11373072442
5,ZTF21abvfacx,16.887747900187968,0.6381178,59466.113429759615,17.679056519269942,0.30787712,59467.16146988485,17.593241029977797,0.33319893,59466.37543979092
6,ZTF21abvcxel,16.934715987741946,0.61110187,59454.53033771836,17.830776715278624,0.26772523,59454.53033771836,17.559306317567824,0.34377754,59456.504174703194
7,ZTF21abuyhau,17.48013741672039,0.36978137,59460.6401514293,18.143274480104445,0.20076601,59460.6401514293,18.31624715924263,0.17119896,59461.20643276062
8,ZTF21abuxuxj,15.854216100275515,1.653155,59461.58738916473,16.57076777294278,0.85446227,59461.58738916473,16.644050715118645,0.7986927,59461.58738916473
9,ZTF21abukrln,17.592186772823332,0.33352262,59459.1683638516,18.297367537021636,0.17420195,59456.73921121324,18.383017325401305,0.16098784,59459.47200793139
10,ZTF21abujgmr,17.866899216175078,0.25896454,59462.58938912622,18.84083687663078,0.10560032,59462.58938912622,18.433431529998778,0.15368354,59460.05131299794
11,ZTF21abujejr,17.56775780916214,0.3411119,59456.269547581665,18.313573443889616,0.17162107,59455.625067363486,18.311127269268034,0.17200817,59457.558508018024
12,ZTF21abujefa,17.730045908689497,0.29375255,59460.23759408883,18.42656716108322,0.15465826,59459.32967812216,18.531448686122893,0.14041728,59461.75078736661
13,ZTF21abufayv,17.90112301111221,0.25092897,59456.98694045359,18.681766831874846,0.1222625,59456.98694045359,18.6263365983963,0.12866648,59456.98694045359
14,ZTF21abubxmc,17.29608870446682,0.4380912,59456.076317012215,17.957573676109313,0.23821577,59456.076317012215,18.132899993658064,0.20269358,59455.70466390716
15,ZTF21abubpng,17.976954424381255,0.23400126,59454.047138749425,18.88674228787422,0.101228565,59451.62619317871,18.559769535064696,0.13680191,59456.46808432014
16,ZTF21abtzlnh,17.344976806640624,0.4188025,59445.30388575746,17.970361107587813,0.2354266,59443.53555312613,17.958995097875594,0.23790413,59464.75554470205
17,ZTF21abtxxdq,16.29338282495737,1.1031812,59442.450358800124,17.18671686351299,0.48452172,59442.450358800124,16.91365904510021,0.62306935,59450.22388504451
18,ZTF21abtcgoh,14.544771307706831,5.5219374,59463.98157841405,15.626935878396033,2.0381007,59439.82673205946,14.98417361974716,3.6840925,59467.43227075042
19,ZTF21absvlrr,14.610372626781462,5.1981754,59456.155353644404,15.293901705741881,2.769742,59454.13901900298,15.42247093617916,2.4604335,59456.55862057269
20,ZTF21absbujl,17.298245722055434,0.4372217,59451.048856958536,17.955308252573012,0.23871334,59449.77638747064,18.1424638569355,0.20091596,59451.473013454495
21,ZTF21abrzsol,16.048142270743845,1.3827481,59444.48932343545,16.755227962136267,0.7209561,59444.48932343545,16.847364337742327,0.6622993,59446.45706333443
22,ZTF21abrylwg,18.084498786926268,0.21193394,59447.27193742633,18.892833137512206,0.100662276,59446.0316796415,18.767944568395613,0.11293334,59447.27193742633
23,ZTF21abrxwvv,18.17806884050369,0.1944341,59445.284658876866,18.85410770177841,0.104317434,59445.62620442434,18.983425045013426,0.09260406,59448.70011435163
24,ZTF21abrxoir,16.476170661486684,0.9322486,59454.00786182334,17.203149342536925,0.47724378,59451.84119749505,17.23092838525772,0.46518815,59454.00786182334
25,ZTF21abrxgiv,17.86282911300659,0.25993714,59446.13511690409,18.715720617771147,0.1184982,59444.98117084651,18.512298011779784,0.14291598,59446.13511690409
26,ZTF21abrpoaq,18.073326045274733,0.21412608,59451.83012039713,18.755467975139616,0.114238575,59449.71202333653,18.88910456895828,0.101008564,59451.83012039713
27,ZTF21abrpkzp,17.784576857089995,0.27936327,59448.54087634443,18.54099198579788,0.13918847,59446.12648801109,18.505984687805174,0.14374943,59450.15046856665
28,ZTF21abrpdsp,16.766929247975348,0.71322787,59447.47199846986,17.61521733701229,0.32652247,59446.60350567188,17.41886048913002,0.39125133,59447.47199846986
29,ZTF21abrotmc,18.22932525873184,0.18546838,59446.99474490087,19.068533623218535,0.08562224,59446.65321373319,18.879784190654753,0.101879396,59448.702400739254
30,ZTF21abrmefg,18.13189431428909,0.20288143,59446.27370461822,18.919537806510924,0.09821661,59444.35337516367,18.832856410741805,0.106379375,59447.04183640004
31,ZTF21abrluay,17.721454495191573,0.29608622,59447.43959069709,18.520817899703978,0.1417989,59444.405059267796,18.300876611471175,0.17363983,59477.35140050016
32,ZTF21abrlslx,17.710420036315917,0.2991107,59447.62773769804,18.389349722862242,0.16005163,59446.0968674233,18.50242837667465,0.14422104,59449.541325541475
33,ZTF21abrhggj,18.044046008586882,0.2199792,59445.270974450556,18.75456436872482,0.114333704,59444.08920958086,18.825794303417204,0.107073575,59445.270974450556
34,ZTF21abrghol,16.194670939445494,1.20818,59448.86340663349,16.924847134947775,0.6166818,59448.86340663349,16.970116639137267,0.5914981,59448.86340663349
35,ZTF21abrgbex,17.773351365327834,0.2822666,59456.22270575152,18.58729257583618,0.13337763,59434.974025169664,18.36572735905647,0.16357203,59456.22270575152
36,ZTF21abraccv,16.732023613154887,0.7365302,59445.67092203333,17.584033676981925,0.33603656,59443.8132106596,17.382706174254416,0.40449908,59447.06420556362
37,ZTF21abqvzjy,16.481773875281213,0.9274499,59436.23272923635,17.434381315112113,0.38569808,59436.23272923635,17.06072903573513,0.5441372,59438.17172661817
38,ZTF21abqueax,18.09859081506729,0.20920095,59443.587284285015,18.83421271443367,0.106246576,59443.587284285015,18.861350262165068,0.1036239,59444.73950124562
39,ZTF21abqsysj,16.033200615644454,1.4019088,59447.318265332106,16.733291105926035,0.73567086,59447.318265332106,16.83394237756729,0.6705375,59449.25711073008
40,ZTF21abqpwpu,18.131399297714232,0.20297395,59442.407735333305,18.87399866580963,0.10242371,59442.407735333305,18.85242491364479,0.104479246,59446.227114542424
41,ZTF21abqmrun,18.214967691898345,0.18793729,59446.98008087468,18.914289319515227,0.09869253,59440.42590204841,19.005040073394774,0.0907787,59446.98008087468
42,ZTF21abqmrtm,17.665898644924162,0.3116309,59440.93006965043,18.44606369137764,0.15190586,59437.9050640383,18.346869045495986,0.16643795,59441.938404854474
43,ZTF21abqikvn,15.289398723840712,2.781253,59441.05646987276,16.006508910655974,1.4368004,59440.55250125155,16.072712981700896,1.3518074,59441.05646987276
44,ZTF21abqftqr,15.95931134521961,1.5006363,59443.234066502,16.783924432098864,0.7021505,59443.234066502,16.639743664860724,0.80186737,59443.748088434324
45,ZTF21abpxquj,15.359604948759078,2.607102,59442.10858325545,16.20582335963845,1.1958333,59428.46247845544,15.983551213145255,1.4675047,59444.635639699896
46,ZTF21abpvssa,17.17670946717262,0.48900828,59439.9940669295,17.994393849372862,0.23027271,59440.51802187294,17.859272801876067,0.26079,59443.13779659011
47,ZTF21abptxfk,16.37873360523954,1.0197802,59435.80208627367,17.11669690310955,0.5167985,59435.29742379286,17.141403996944426,0.505171,59436.306748754476
48,ZTF21abprzfg,16.873560467362402,0.64651084,59437.27397198802,17.52031728029251,0.356347,59437.76775390418,17.737262094020842,0.29180667,59436.2864081557
49,ZTF21abplhpw,17.899057561159132,0.2514068,59440.652770500106,18.860724115371703,0.103683665,59437.50339690012,18.44420745372772,0.15216579,59442.22745730009
50,ZTF21abpjpxr,18.054764413833617,0.21781823,59434.828127081724,18.739571267366408,0.1159235,59434.19241966051,18.836102479696272,0.1060618,59436.735249345365
51,ZTF21abpivbd,16.93008884191513,0.6137118,59443.642599403036,17.60363339781761,0.33002484,59444.12643486365,17.764434510469435,0.2845943,59443.642599403036
52,ZTF21abpapvy,18.20801659822464,0.18914434,59433.33471378177,18.99070038795471,0.09198559,59433.78856373934,18.91504987478256,0.098623425,59434.6962636545
53,ZTF21abpaodi,17.249579647183417,0.4572652,59434.864755752336,17.999064916372298,0.22928415,59433.04932318667,17.994971418380736,0.23015024,59436.226330176585
54,ZTF21abowsub,17.905510509014128,0.249917,59431.8927101817,18.67166563272476,0.123405285,59431.8927101817,18.61721604466438,0.12975186,59435.79591936355
55,ZTF21abowqqa,18.06785582900047,0.21520764,59436.966038638275,18.7494017124176,0.114878654,59436.966038638275,18.84657218456268,0.10504396,59439.337290506955
56,ZTF21abowpnd,17.544457086920737,0.34851155,59437.521226833254,18.239090287685393,0.18380779,59436.21979164841,18.31928744316101,0.17072023,59437.521226833254
57,ZTF21abouznj,17.317109996080397,0.42969075,59435.30291418471,18.087659323215483,0.21131788,59435.30291418471,18.044293218851088,0.2199291,59436.907926460466
58,ZTF21abouxex,18.327622109651564,0.16941473,59462.161111928166,19.20247241258621,0.0756852,59457.26034699183,18.917494559288023,0.09840159,59464.339229677644
59,ZTF21abouuat,16.599315808713435,0.8322881,59434.265959600096,17.398370200395583,0.3987052,59429.1816793001,17.209641778469084,0.47439846,59444.99944023342
60,ZTF21abousyu,18.056496226787566,0.2174711,59434.21253178186,18.81991579532623,0.10765488,59433.184873018225,18.79537104964256,0.11011629,59436.26784930913
61,ZTF21abouexm,16.845728376507758,0.66329795,59433.31919087271,17.515109622478484,0.35806027,59431.65596346058,17.680176937580107,0.30755958,59433.87360001009
62,ZTF21abotuqo,17.53994725048542,0.34996217,59428.52950853732,18.252347403764723,0.18157709,59426.89743116762,18.332881772518157,0.16859601,59428.52950853732
63,ZTF21abotose,17.99593030810356,0.22994706,59443.12346240913,18.958753490447997,0.09473241,59423.21560190013,18.551245325803755,0.13788019,59443.12346240913
64,ZTF21abothvq,16.484241982549428,0.925344,59435.83942025756,17.195267820358275,0.48072076,59434.70952547776,17.258862996101378,0.45337212,59438.099209817155
65,ZTF21abnvsic,17.425057584047316,0.3890245,59427.63182616342,18.140842163562773,0.2012163,59427.63182616342,18.208093041181563,0.18913104,59428.127071790695
66,ZTF21abnuldi,16.866430783271788,0.65077025,59427.3227566998,17.613547736406325,0.32702497,59427.3227566998,17.61432676911354,0.3267904,59427.81766036647
67,ZTF21abnudtb,16.77050575017929,0.7108823,59428.66838047874,17.529307746887206,0.35340843,59425.04119473329,17.48596049249172,0.36780345,59431.08650430903
68,ZTF21abnlhxs,15.77301844358444,1.7815278,59428.92947837384,16.507607217505573,0.90564317,59429.524696059685,16.523816030099987,0.89222336,59463.45210415341
69,ZTF21abmxiuf,17.166894742846488,0.4934488,59444.96834980904,18.591612124443053,0.13284805,59427.79250067269,17.473616594076155,0.37200892,59444.33220724843
70,ZTF21abmwwsq,17.08210333585739,0.53352976,59429.09208696653,18.001555347442626,0.22875881,59427.30751976653,17.688016140460967,0.30534694,59429.09208696653
71,ZTF21abmwghp,17.195824900269507,0.48047417,59429.066907538276,17.870426023006438,0.25812474,59429.066907538276,18.029802733659743,0.222884,59428.50269866757
72,ZTF21abmwgdf,17.815686905384062,0.27147213,59424.764947787815,18.53635057210922,0.13978475,59424.764947787815,18.54920476078987,0.13813958,59427.72708232722
73,ZTF21abmspzt,17.807027840614317,0.27364585,59425.9668626293,18.49126994013786,0.1457109,59424.42914283939,18.615150147676466,0.12999898,59425.9668626293
74,ZTF21abmsppx,17.190830999612807,0.48268923,59424.19935663128,17.88120418190956,0.255575,59423.67493264542,17.99636065363884,0.22985595,59424.72378061714
75,ZTF21abmpnui,18.566124880313872,0.13600348,59423.53027039093,19.824054980278014,0.042695098,59422.29101323638,18.975115859508513,0.09331547,59423.53027039093
76,ZTF21abmlldj,17.85098805427551,0.26278755,59453.389121042215,18.72235848903656,0.117775954,59453.389121042215,18.483483189344405,0.14675967,59451.15189671494
77,ZTF21abmjivk,16.910683245956896,0.6247794,59421.72504433534,17.920183384418486,0.24656229,59421.078835254535,17.42799706161022,0.3879727,59423.663671577764
78,ZTF21abmjgwf,17.731579387187956,0.29333794,59432.69606479988,18.97347673177719,0.09345645,59429.62229586047,18.131131225824355,0.20302406,59432.69606479988
79,ZTF21abmgxyu,17.519385361671446,0.35665298,59423.53821154349,18.258515441417693,0.18054849,59425.99689607277,18.28326686620712,0.17647909,59423.53821154349
80,ZTF21abmfrad,16.89196735024452,0.6356427,59426.27146760721,17.61429607272148,0.32679963,59425.00164835064,17.666836524009703,0.31136185,59426.27146760721
81,ZTF21ablwfcp,16.595737667381762,0.8350355,59423.33346101506,17.36294030547142,0.41193044,59422.638424539306,17.332300239801405,0.42372093,59423.33346101506
82,ZTF21ablvzhp,16.504438215494154,0.9082904,59419.85638642749,17.221685194969176,0.46916535,59420.55231527598,17.243796655535697,0.45970723,59433.77496339719
83,ZTF21ablrhtk,17.551220574975012,0.34634727,59423.6528032637,18.294877105951308,0.17460199,59420.048832772816,18.272325986623763,0.17826645,59424.16765619096
84,ZTF21ablqsnv,17.05257780253887,0.5482377,59421.827862854654,17.76758416891098,0.2837699,59421.827862854654,17.843224549293517,0.26467335,59423.099293363746
85,ZTF21abljmmv,16.814857529103755,0.68242824,59424.68328621808,17.58848219513893,0.33466256,59424.68328621808,17.546783232688902,0.34776568,59424.68328621808
86,ZTF21ablducj,17.628455901145934,0.3225653,59421.07360398089,18.493665599822997,0.14538974,59419.80287493039,18.238611513376235,0.18388885,59422.97969755664
87,ZTF21abkzgae,17.321048894524573,0.4281347,59422.46389309387,17.971163833141325,0.23525263,59422.46389309387,18.168110394477843,0.19622569,59423.09978640195
88,ZTF21abkqkon,17.944892489910124,0.24101442,59417.035697981606,18.6612227499485,0.12459796,59416.06802986645,18.713564121723174,0.11873379,59418.00336609675
89,ZTF21abkoccb,17.068683424592017,0.54016525,59421.81571595168,17.94059574007988,0.2419701,59421.81571595168,17.713748508691786,0.29819515,59421.81571595168
90,ZTF21abklcjq,18.067553037405013,0.21526766,59423.12740790111,19.063075625896452,0.08605374,59419.746669380926,18.537464880943297,0.13964136,59427.18429412533
91,ZTF21abkkuja,17.82196238040924,0.26990756,59416.84519148487,18.653144234418868,0.12552848,59412.04399725661,18.461627805233,0.1497438,59416.84519148487
92,ZTF21abkintm,17.58694044649601,0.3351381,59416.45410884441,18.240906739234923,0.18350051,59417.09950972824,18.39710875749588,0.15891193,59413.87250530906
93,ZTF21abkdpnw,15.207757347822188,2.9984517,59422.47909464557,15.927541957795619,1.5451947,59422.47909464557,15.99046348929405,1.4581916,59420.947124481936
94,ZTF21abkavmp,16.768029326200484,0.7125056,59417.46867446663,17.570764565467833,0.34016857,59416.8832580333,17.46650538742542,0.37445346,59419.22492376664
95,ZTF21abkaoxe,17.235397392511366,0.4632773,59415.28155476662,17.914364928007124,0.24788715,59416.732767356516,18.05871739387512,0.21702664,59415.28155476662
96,ZTF21abjvwcd,18.131517016887663,0.20295194,59412.65637811019,18.932182335853575,0.0970794,59412.65637811019,18.825727248191832,0.10708018,59417.533057871784
97,ZTF21abjvtxq,17.94703602194786,0.24053904,59411.329014057555,18.7304545879364,0.11690098,59411.329014057555,18.669619554281233,0.12363806,59411.329014057555
98,ZTF21abjtqyq,17.5047425866127,0.36149555,59417.2372828576,18.20939272046089,0.18890476,59417.2372828576,18.28722789287567,0.17583641,59417.94293498083
99,ZTF21abjrysr,18.021502637863158,0.22459441,59416.89085708268,18.70350911617279,0.1198385,59418.192188452376,18.83207037448883,0.106456414,59416.89085708268
100,ZTF21abjrwhq,17.463858494162558,0.37536743,59411.129499247516,18.250217282772063,0.18193369,59409.979883996006,18.18026795387268,0.1940407,59411.129499247516
101,ZTF21abjrptn,16.904906326532362,0.62811255,59415.20228675153,17.60119735598564,0.33076617,59414.49637649194,17.682845586538313,0.30680454,59417.32001753031
102,ZTF21abjpphz,17.874516093730925,0.25715417,59411.743077275634,18.635879004001616,0.12754057,59410.09127452412,18.58562126159668,0.1335831,59412.15602796351
103,ZTF21abjhxqg,18.308861845731734,0.17236745,59417.23816252134,19.054853761196135,0.086707875,59409.6984848456,18.937441551685332,0.09661028,59417.23816252134
104,ZTF21abjhiqp,18.070158207416533,0.21475175,59430.001137399966,18.851888918876647,0.10453084,59423.99704894439,18.779172295331954,0.111771494,59427.42795663329
105,ZTF21abjeyoh,17.00137789696455,0.57471013,59414.95567270014,17.686847740411757,0.3056757,59414.95567270014,17.808557593822478,0.27326056,59416.44802843347
106,ZTF21abjdqbo,17.942589366436003,0.24152622,59412.403042927086,18.673354679346083,0.123213455,59411.99989056951,18.69431942105293,0.12085711,59412.806195284655
107,ZTF21abjdiok,17.568642938137053,0.34083393,59417.191683293866,18.3632650911808,0.16394341,59414.768212009025,18.267260485887526,0.1791001,59417.191683293866
108,ZTF21abjciip,17.544711822271346,0.3484298,59415.24740377575,18.345096403360365,0.16670991,59414.63108491514,18.243955516815184,0.18298596,59415.24740377575
109,ZTF21abjbnhh,15.541832217574118,2.2042818,59415.1577064474,16.33929318152368,1.0575057,59415.1577064474,16.250695375353096,1.1474185,59415.672815407
110,ZTF21abjaksr,18.12042116522789,0.20503667,59409.9599253324,18.863421076536177,0.103426434,59410.585315694014,18.87340068221092,0.10248014,59408.08375424756
111,ZTF21abizxkw,18.09287174940109,0.21030584,59410.07424842402,18.799902194738387,0.109657705,59408.07958091493,18.871941411495207,0.10261797,59410.07424842402
112,ZTF21abiyyob,17.316660875082015,0.42986852,59409.387025451484,18.12689154744148,0.20381841,59409.962743044416,18.004998260736464,0.22803459,59410.53846063735
113,ZTF21abiuvdk,11.720881605148314,74.41275,59410.4763711142,12.429850840568541,38.73109,59410.4763711142,12.518887364864348,35.681664,59410.4763711142
114,ZTF21abimnii,16.75059694200754,0.72403777,59415.36197074554,17.806242847442626,0.27384377,59411.48367797785,17.249359333515166,0.45735797,59416.91328785261
115,ZTF21abimejj,18.110235625505446,0.2069692,59407.07955131716,18.872518384456633,0.102563456,59407.07955131716,18.83244007229805,0.106420174,59407.989173696966
116,ZTF21abilrxd,16.0225169301033,1.4157717,59407.363393649306,16.593024929612874,0.83712447,59407.363393649306,16.951973693072794,0.6014652,59414.26281284022
117,ZTF21abienbe,16.89562122672796,0.63350713,59404.48413181018,17.97886043190956,0.23359086,59402.064284608176,17.381713533401488,0.40486905,59405.45207069099
118,ZTF21abidtrd,17.092001730203627,0.52868783,59406.278566545654,17.902291858196257,0.250659,59406.278566545654,17.774591290950774,0.2819444,59407.61113505475
119,ZTF21abidrcn,17.42276802062988,0.38984576,59406.030706328456,18.13885494470596,0.2015849,59406.030706328456,18.205591136217116,0.18956736,59406.47457768099
120,ZTF21abiblpl,17.597088360786437,0.3320203,59403.60739860098,18.39932977557182,0.15858719,59398.3412664434,18.270846301317214,0.17850956,59403.60739860098
121,ZTF21abiawpf,17.28882580399513,0.44103158,59407.04780719988,17.970585072040556,0.23537807,59406.29899313321,18.112592244148253,0.20652047,59407.04780719988
122,ZTF21abiacoi,18.110385382175444,0.20694068,59406.06637658789,19.051099264621733,0.08700823,59402.79621852325,18.67660536766052,0.122845106,59406.06637658789
123,ZTF21abiacmi,16.825849482417105,0.6755542,59402.83308165153,17.69836842417717,0.30244935,59402.83308165153,17.470422679185866,0.37310487,59402.83308165153
124,ZTF21abhzicj,16.903037720918654,0.6291945,59405.293634342306,17.68479331731796,0.30625466,59405.293634342306,17.627195933461188,0.32293984,59405.293634342306
125,ZTF21abhyukx,18.198375993967055,0.1908313,59401.08622146165,18.996340775489806,0.09150896,59401.08622146165,18.86467277407646,0.10330727,59402.95114909295
126,ZTF21abhyqlv,17.495022708177565,0.36474633,59400.88664314537,18.276929253339766,0.17751224,59398.22076070901,18.161054545640944,0.19750504,59407.107035496876
127,ZTF21abhwnvw,17.69427686333656,0.30359125,59398.63674404242,18.47700878381729,0.14763743,59399.06983373636,18.407051557302474,0.15746331,59398.20365434849
128,ZTF21abhuqpe,16.41926034223288,0.982417,59399.48772236576,17.233502784371375,0.46408644,59400.77944655163,17.110598081350325,0.51970965,59399.48772236576
129,ZTF21abhtlrj,18.271067732572554,0.17847316,59397.70997319709,18.960064792633055,0.094618075,59396.721883736485,19.064803266525267,0.08591692,59399.6861521183
130,ZTF21abhtkiy,17.27754487991333,0.44563782,59398.23958950387,17.93843805193901,0.24245146,59398.23958950387,18.124241375923155,0.2043165,59399.934016647305
131,ZTF21abhtaiv,17.724061304330824,0.29537618,59396.782973851594,18.42059656381607,0.1555111,59396.782973851594,18.535726511478423,0.1398651,59396.782973851594
132,ZTF21abhtafw,15.28589486479759,2.7902431,59398.14948159788,16.019328044354914,1.4199361,59399.05725867465,16.05704046189785,1.3714621,59398.14948159788
133,ZTF21abhshmt,16.642361985146998,0.79993594,59404.19893939992,17.382049629092215,0.40474376,59402.19922699992,17.3650532156229,0.41112956,59404.19893939992
134,ZTF21abhrmrv,16.927984350919722,0.6149025,59399.655919118086,17.754061365127562,0.28732637,59399.655919118086,17.610011690855025,0.32809177,59400.55551975445
135,ZTF21abhqqfa,17.628730678558348,0.3224837,59400.97528162226,18.49597200155258,0.14508122,59401.64048960509,18.273244047164916,0.17811577,59400.97528162226
136,ZTF21abhqhqb,17.557331466674803,0.3444034,59392.47150251201,18.254589730501174,0.18120247,59392.774387262514,18.3589364528656,0.16459832,59390.95707875948
137,ZTF21abhkeak,17.20166012048721,0.4778988,59394.692514724244,17.961833322048186,0.23728302,59394.692514724244,17.946689718961714,0.24061579,59394.692514724244
138,ZTF21abhibro,16.726271802186965,0.7404424,59439.31925117593,17.58544891476631,0.33559883,59429.33234857998,17.35530018210411,0.41483933,59442.315321954724
139,ZTF21abhhrpj,17.236308524012564,0.46288872,59389.22674545978,17.9479277074337,0.24034157,59383.35805789011,17.997089320421217,0.22970174,59394.11731843451
140,ZTF21abhhbmd,16.99403773397207,0.57860863,59395.67667589912,17.994032943248747,0.23034926,59394.48613764659,17.540414178371428,0.3498117,59396.271945025386
141,ZTF21abhaqju,16.465571744926272,0.94139373,59395.63425201402,17.256071785092352,0.45453915,59394.3012939625,17.173544386029242,0.4904359,59395.63425201402
142,ZTF21abgzlyi,17.02952846288681,0.5600008,59395.20191344226,17.737084174156188,0.29185447,59395.20191344226,17.82907068133354,0.26814628,59395.20191344226
143,ZTF21abgxudc,16.259813014045356,1.1378232,59414.28869209997,16.99857528656721,0.57619554,59295.82301496061,16.989985996484755,0.5807719,59406.884587278764
144,ZTF21abgmyzw,17.654394352436064,0.3149505,59392.07620439284,18.31677063703537,0.17111644,59392.07620439284,18.485843682289122,0.14644095,59394.054713091835
145,ZTF21abgjldn,16.37866329504177,1.0198462,59439.20033253237,17.19622633755207,0.48029655,59439.20033253237,17.06642239689827,0.5412913,59437.98040513337
146,ZTF21abghumo,17.097906762361525,0.52582026,59406.588526199084,17.882447683811186,0.25528243,59406.588526199084,17.801297599077223,0.2750939,59411.63156246673
