,obj_names,magnitudes,fluxes,times_sum,magnitudes_g,fluxes_g,times_g,magnitudes_r,fluxes_r,times_r
1091,ZTF20aazdsjr,17.463642830276033,0.37544201138409106,58992.78725902732,18.242395648828996,0.18324905363697022,58992.78725902732,18.188181084663604,0.19263161518234057,58992.04004183136
1092,ZTF20aayxldg,16.804246282459825,0.6891305244038601,58993.48423645251,17.612280586327252,0.3274068530133305,58992.53585752422,17.502111170360173,0.36237275004340075,58993.48423645251
1093,ZTF20aayxdse,17.892150722831612,0.253011179279092,58980.85653266865,18.61657416993029,0.1298285874743073,58980.23210540905,18.667777236582406,0.12384803072293019,58980.85653266865
1094,ZTF20aayvymx,17.634743531771758,0.32070267859752927,58988.47281543221,18.399079819953783,0.15862369859749975,58988.47281543221,18.375683262723438,0.16207898000002952,58988.47281543221
1095,ZTF20aayvubx,16.339837179702858,1.0569760046593606,58993.74943426067,17.037424588497665,0.5559428698089814,58992.394767454614,17.136253941636557,0.5075728963423376,58994.4267676637
1096,ZTF20aayprqz,16.062274366033513,1.3648667490350697,58993.7708364163,16.730927117695348,0.7372743975231695,58992.8519918365,16.899820998917036,0.6310613765260421,58994.689680996096
1097,ZTF20aaynrrh,13.713079866671503,11.878676452753657,58985.69031217878,14.485645952812504,5.830980900396483,58982.19439408585,14.429620540790653,6.139765493120654,58985.69031217878
1098,ZTF20aayknlo,14.90967793212252,3.945743294617905,58985.51474675065,15.607683926389235,2.074562051761172,58985.51474675065,15.716842744956704,1.8761298876103472,58984.91869526378
1099,ZTF20aayjyhp,18.181962038230147,0.19373816621693413,58984.62422242842,18.924190211051005,0.09779663585545134,58983.29702861328,18.934735762635448,0.09685135362765597,58985.50901830519
1100,ZTF20aayjxdv,17.366361351394822,0.41063452368528813,58986.898874182036,18.075940879452453,0.21361101725723125,58986.152846194156,18.157154173868257,0.19821582776406418,58987.644902169915
1101,ZTF20aaybvye,17.728023563235805,0.2943002118378255,58986.678945630185,18.449793839038033,0.15138486726452288,58985.26824323624,18.499629972939882,0.14459324714385252,58987.384296827164
1102,ZTF20aaxxepr,17.711792718824316,0.29873280204045644,58983.46192595555,18.363612593137148,0.1638909462638004,58980.58995917777,18.50332269529707,0.14410230308193084,58986.90828608889
1103,ZTF20aaxxcms,17.535197874654855,0.35149637472499007,58982.63327523645,18.198138816176044,0.1908729885963742,58981.46243301827,18.373524255578555,0.16240159780163477,58983.80411745462
1104,ZTF20aaxuwuh,17.889989376523584,0.2535153435796702,58983.24077988088,18.61730480641044,0.12974124987594465,58981.50888407077,18.639758107866335,0.1270857209077574,58985.40564964351
1105,ZTF20aaxunbm,17.812932481998264,0.2721616988694099,58975.53892152016,18.446786302196177,0.15180479131291522,58974.912399002984,18.67778767157691,0.12271140576917816,58976.7919665545
1106,ZTF20aaxndzx,18.16016412936368,0.19766708067089195,58981.724548344355,18.88367216115752,0.10151521424780471,58981.17893409991,18.93945996033519,0.09643085465232984,58982.815776833246
